min_prob,max_prob,events,nonevents,cum_eventrate,cum_noneventrate,KS,rate_bucket
0.554305786768521,0.8462156834273638,3189.0,16811.0,39.63%,18.28%,21.4,15.945
0.4990066392947967,0.5543011988909126,2047.0,17953.0,65.08%,37.81%,27.3,10.235
0.3291599978501757,0.4990048730959533,1724.0,18276.0,86.50%,57.68%,28.799999999999997,8.62
0.18444555519800637,0.3291095903344245,874.0,19126.0,97.37%,78.48%,18.9,4.37
0.13379376885954206,0.18444445895749823,212.0,19788.0,100.00%,100.00%,0.0,1.06
